,endTime,artistName,trackName,msPlayed,danceability,valenceScore,artistGenres,minutesPlayed
242,2022-03-25 18:45,Jesse Futerman,Vista,363530,0.614,0.242,['abstract beats'],6.058833333333333
243,2022-03-25 18:49,Mulatu Astatke,Tezeta (Nostalgia),223242,0.547,0.504,"['afrobeat', 'afropop', 'ethio-jazz', 'world']",3.7207
244,2022-03-25 18:52,Tobias Rahim,STOR MAND (feat. Andreas Odbjerg),183845,0.667,0.493,['danish pop'],3.0640833333333335
245,2022-03-25 18:56,Röyksopp,Eple,218289,0.68,0.806,"['downtempo', 'electronica', 'indietronica', 'neo-synthpop', 'trip hop']",3.63815
246,2022-03-25 18:57,Molchat Doma,Судно (Борис Рижий),0,0.484,0.467,"['belarusian indie', 'russian post-punk', 'sovietwave']",0.0
247,2022-03-25 20:57,Helvetic Nerds,Stormwatch - Chris Reece & Dinka Old Fashion Mix,424042,0.763,0.453,['progressive electro house'],7.067366666666667
248,2022-03-25 23:32,Burial,Moth,139935,0.915,0.474,"['classic dubstep', 'electronica', 'hauntology', 'intelligent dance music', 'trip hop', 'uk bass', 'wonky']",2.33225
249,2022-03-25 23:33,Jeremy Soule,Secunda,7116,0.144,0.0868,"['orchestral soundtrack', 'scorecore', 'video game music']",0.1186
250,2022-03-25 23:35,Jeremy Soule,Secunda,123216,0.144,0.0868,"['orchestral soundtrack', 'scorecore', 'video game music']",2.0536
251,2022-03-25 23:38,Jeremy Soule,Imperial Throne,142839,0.161,0.0324,"['orchestral soundtrack', 'scorecore', 'video game music']",2.38065
252,2022-03-25 23:39,Jeremy Soule,Dawn,2321,0.133,0.0322,"['orchestral soundtrack', 'scorecore', 'video game music']",0.03868333333333333
253,2022-03-25 23:40,Jeremy Soule,Distant Horizons,44826,0.0604,0.0347,"['orchestral soundtrack', 'scorecore', 'video game music']",0.7471
254,2022-03-25 23:45,Jeremy Soule,Kyne's Peace,70205,0.0649,0.0331,"['orchestral soundtrack', 'scorecore', 'video game music']",1.1700833333333334
255,2022-03-25 23:53,Jeremy Soule,Tundra,229500,0.0727,0.0385,"['orchestral soundtrack', 'scorecore', 'video game music']",3.825
256,2022-03-26 00:00,Jeremy Soule,Secunda,123216,0.144,0.0868,"['orchestral soundtrack', 'scorecore', 'video game music']",2.0536
257,2022-03-26 00:02,Jeremy Soule,Imperial Throne,142839,0.161,0.0324,"['orchestral soundtrack', 'scorecore', 'video game music']",2.38065
258,2022-03-26 00:09,Jeremy Soule,Dawn,237794,0.133,0.0322,"['orchestral soundtrack', 'scorecore', 'video game music']",3.963233333333333
259,2022-03-26 17:23,Jeremy Soule,Distant Horizons,32857,0.0604,0.0347,"['orchestral soundtrack', 'scorecore', 'video game music']",0.5476166666666666
260,2022-03-31 12:27,Bertrand Belin,Que dalle tout,219600,0.721,0.801,"['french indie pop', 'nouvelle chanson francaise']",3.66
261,2022-03-31 12:33,Bertrand Belin,Que dalle tout,238890,0.721,0.801,"['french indie pop', 'nouvelle chanson francaise']",3.9815
262,2022-03-31 12:40,Bertrand Belin,Que dalle tout,90965,0.721,0.801,"['french indie pop', 'nouvelle chanson francaise']",1.5160833333333332
263,2022-03-31 13:58,Bertrand Belin,Que dalle tout,219600,0.721,0.801,"['french indie pop', 'nouvelle chanson francaise']",3.66
264,2022-03-31 15:16,Jacques Dutronc,"Et moi, et moi, et moi",91413,0.724,0.941,"['chanson', 'ye ye']",1.52355
265,2022-03-31 15:37,Jacques Dutronc,"Et moi, et moi, et moi",72021,0.724,0.941,"['chanson', 'ye ye']",1.20035
266,2022-03-31 18:37,Jacques Dutronc,"Et moi, et moi, et moi",73405,0.724,0.941,"['chanson', 'ye ye']",1.2234166666666666
267,2022-03-31 18:41,Dumbo Gets Mad,Indian Food,184096,0.561,0.634,"['indie garage rock', 'neo-psychedelic', 'psychedelic pop']",3.0682666666666667
268,2022-03-31 18:45,levitation room,Friends,217666,0.634,0.751,"['indie garage rock', 'neo-psychedelic']",3.6277666666666666
269,2022-03-31 18:46,KIDD,10 Dage,107506,0.802,0.928,"['danish hip hop', 'danish pop']",1.7917666666666667
270,2022-03-31 19:07,Jacques Dutronc,"Et moi, et moi, et moi",71869,0.724,0.941,"['chanson', 'ye ye']",1.1978166666666668
271,2022-03-31 19:35,Angelo Badalamenti,Freshly Squeezed - Instrumental,768,0.714,0.396,"['dark jazz', 'soundtrack']",0.0128
272,2022-04-01 11:12,Gilberto Gil,Andar com fé,8661,0.774,0.965,"['bossa nova', 'mpb', 'samba', 'tropicalia', 'violao']",0.14435
273,2022-04-01 14:36,Jacques Dutronc,"Et moi, et moi, et moi",175466,0.724,0.941,"['chanson', 'ye ye']",2.9244333333333334
274,2022-04-01 14:40,Bertrand Belin,Que dalle tout,14971,0.721,0.801,"['french indie pop', 'nouvelle chanson francaise']",0.24951666666666666
275,2022-04-01 14:44,Matt Uelmen,Rogue,19178,0.103,0.0431,['video game music'],0.3196333333333333
